seq_id,driver,category,s_samples,v_samples,s_sampling_rate_hz,v_sampling_rate_hz,s_duration_s,v_duration_s,missing_imu_pct,speed_mean_kmh,speed_max_kmh,has_accel,has_gyro,has_mag,has_gravity,has_gps_speed,has_vehicle_speed,usable
Vta27,E,Vta,2540,2540,10.0,10.0,253.9,253.9,0.0,44.7,65.0,True,True,True,True,True,True,True
Vta28,E,Vta,4210,4210,10.0,10.0,420.9,420.9,0.0,33.6,66.0,True,True,True,True,True,True,True
Vta29,E,Vta,23705,23705,10.0,10.0,2369.8,2370.4,0.0,39.6,102.0,True,True,True,True,True,True,True
Vta30,E,Vta,17136,17136,10.0,10.0,1713.5,1713.5,0.0,24.7,100.0,True,True,True,True,True,True,True
Vtb1,E,Vtb,32459,32459,10.0,10.0,3245.8,3245.8,0.0,46.1,101.2,True,True,True,True,True,True,True
Vtb2,E,Vtb,5712,5712,10.0,10.0,571.1,571.1,0.0,27.2,61.1,True,True,True,True,True,True,True
Vtb3,E,Vtb,8240,8240,10.0,10.0,823.9,823.9,0.0,3.0,37.5,True,True,True,True,True,True,True
Vtb4,E,Vtb,556,556,10.0,10.0,55.5,55.5,0.0,15.6,32.7,True,True,True,True,True,True,True
Vtb5,E,Vtb,64388,64388,10.0,10.0,6438.7,6438.7,0.0,62.4,112.9,True,True,True,True,True,True,True
Vtb6,E,Vtb,498,498,10.0,10.0,49.7,49.7,0.0,63.3,73.0,True,True,True,True,True,True,True
Vtb7,E,Vtb,461,461,10.0,10.0,46.0,46.0,0.0,56.4,69.2,True,True,True,True,True,True,True
Vtb8,E,Vtb,668,668,10.0,10.0,66.7,66.7,0.0,69.8,76.5,True,True,True,True,True,True,True
Vtb9,E,Vtb,452,452,10.0,10.0,45.1,45.1,0.0,77.1,92.0,True,True,True,True,True,True,True
Vtb10,E,Vtb,196,195,10.0,10.0,19.5,19.4,0.0,41.7,58.5,True,True,True,True,True,True,True
Vtb11,E,Vtb,361,361,10.0,10.0,36.0,36.0,0.0,69.8,75.3,True,True,True,True,True,True,True
Vtb12,E,Vtb,447,447,10.0,10.0,44.6,44.6,0.0,42.8,71.0,True,True,True,True,True,True,True
Vw1,E,Vw,20476,20475,10.0,10.0,2047.5,2047.4,0.0,0.0,0.3,True,True,True,True,True,True,True
Vw2,E,Vw,52713,52712,10.0,10.0,5271.2,5271.1,0.0,67.3,115.4,True,True,True,True,True,True,True
Vw3,E,Vw,3861,3861,10.0,10.0,386.0,386.0,0.0,46.1,77.4,True,True,True,True,True,True,True
Vw4,E,Vw,126526,126527,10.0,10.0,12652.5,12652.6,0.0,61.0,131.9,True,True,True,True,True,True,True
Vw5,E,Vw,1012,1012,10.0,10.0,101.1,101.1,0.0,23.7,37.4,True,True,True,True,True,True,True
Vw6,E,Vw,1281,1281,10.0,10.0,128.0,128.0,0.0,30.3,40.7,True,True,True,True,True,True,True
Vw7,E,Vw,1602,1602,10.0,10.0,160.1,160.1,0.0,26.0,42.2,True,True,True,True,True,True,True
Vw8,E,Vw,1529,1529,10.0,10.0,152.8,152.8,0.0,25.0,46.4,True,True,True,True,True,True,True
Vw9,E,Vw,552,553,10.0,10.0,55.1,55.2,0.0,27.4,42.0,True,True,True,True,True,True,True
Vw10,E,Vw,652,652,10.0,10.0,65.1,65.1,0.0,40.5,58.9,True,True,True,True,True,True,True
Vw11,E,Vw,4909,4909,10.0,10.0,490.8,490.8,0.0,42.8,98.4,True,True,True,True,True,True,True
Vw12,E,Vw,918,918,10.0,10.0,91.7,91.7,0.0,90.4,97.4,True,True,True,True,True,True,True
Vw13,E,Vw,284,284,10.0,10.0,28.3,28.3,0.0,98.6,113.5,True,True,True,True,True,True,True
Vw14a,E,Vw,3138,3138,10.0,10.0,313.7,313.7,0.0,90.9,109.4,True,True,True,True,True,True,True
Vw14b,E,Vw,19588,19588,10.0,10.0,1958.7,1958.7,0.0,75.7,120.1,True,True,True,True,True,True,True
Vw14c,E,Vw,15826,15826,10.0,10.0,1582.5,1582.5,0.0,38.9,100.5,True,True,True,True,True,True,True
Vw15,E,Vw,1380,1391,10.0,10.0,137.9,139.0,0.0,0.1,0.8,True,True,True,True,True,True,True
Vw16a,E,Vw,5879,5879,10.0,10.0,587.8,587.8,0.0,51.9,83.5,True,True,True,True,True,True,True
Vw16b,E,Vw,1126,1126,10.0,10.0,112.5,112.5,0.0,60.5,86.3,True,True,True,True,True,True,True
Vw17,E,Vw,329,329,10.0,10.0,32.8,32.8,0.0,59.1,72.7,True,True,True,True,True,True,True
Y1,D,Y,70285,70285,10.0,10.0,6690.8,7666.8,0.0,30.0,87.5,True,True,True,True,True,True,True
